Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
131,Tyler Alexander*,30,2TM,2LG,-0.5,5,14,.263,4.98,52,5,12,0,0,1,97.2,107,62,54,9,30,5,82,2,2,1,423,84,3.64,1.403,9.9,0.8,2.8,7.6,2.73,,alexaty01
131,Tyler Alexander*,30,MIL,NL,-1.2,3,5,.375,6.19,21,4,7,0,0,1,36.1,42,31,25,3,12,0,30,1,1,0,164,68,3.63,1.486,10.4,0.7,3.0,7.4,2.50,,alexaty01
131,Tyler Alexander*,30,CHW,AL,0.7,2,9,.182,4.26,31,1,5,0,0,0,61.1,65,31,29,6,18,5,52,1,1,1,259,99,3.64,1.353,9.5,0.9,2.6,7.6,2.89,,alexaty01
132,Mike Burrows,25,PIT,NL,1.5,2,4,.333,3.94,23,19,0,0,0,0,96.0,88,43,42,13,31,1,97,5,0,2,402,109,4.00,1.240,8.3,1.2,2.9,9.1,3.13,,burromi01
133,Michael McGreevy,24,STL,NL,0.7,8,4,.667,4.42,17,16,1,0,0,0,95.2,100,50,47,12,20,0,58,3,1,0,400,93,4.27,1.254,9.4,1.1,1.9,5.5,2.90,,mcgremi01
134,Joey Cantillo*,25,CLE,AL,1.4,5,3,.625,3.21,34,13,10,0,0,1,95.1,78,39,34,10,42,0,108,0,0,2,401,131,3.55,1.259,7.4,0.9,4.0,10.2,2.57,,cantijo01
135,Eury Pérez,22,MIA,NL,1.2,7,6,.538,4.25,20,20,0,0,0,0,95.1,68,47,45,12,32,0,105,3,2,9,385,104,3.67,1.049,6.4,1.1,3.0,9.9,3.28,,perezeu02
136,Aaron Nola,32,PHI,NL,-0.3,5,10,.333,6.01,17,17,0,0,0,0,94.1,99,65,63,18,28,0,97,4,0,1,404,73,4.58,1.346,9.4,1.7,2.7,9.3,3.46,,nolaaa01
137,Jacob Lopez*,27,ATH,AL,1.1,7,7,.500,4.08,21,17,1,0,0,0,92.2,81,47,42,15,37,0,113,8,1,0,399,103,4.26,1.273,7.9,1.5,3.6,11.0,3.05,,lopezja04
138,Sean Newcomb*,32,2TM,AL,1.6,2,5,.286,2.73,48,5,11,0,0,2,92.1,94,36,28,5,31,2,91,5,0,2,391,153,3.04,1.354,9.2,0.5,3.0,8.9,2.94,,newcose01
138,Sean Newcomb*,32,BOS,AL,-0.1,0,4,.000,3.95,12,5,5,0,0,0,41.0,55,24,18,3,17,0,41,2,0,2,190,105,3.48,1.756,12.1,0.7,3.7,9.0,2.41,,newcose01
138,Sean Newcomb*,32,ATH,AL,1.7,2,1,.667,1.75,36,0,6,0,0,2,51.1,39,12,10,2,14,2,50,3,0,0,201,240,2.69,1.032,6.8,0.4,2.5,8.8,3.57,,newcose01
139,Keider Montero,24,DET,AL,0.6,5,3,.625,4.37,20,12,1,0,0,0,90.2,95,46,44,16,31,0,72,2,0,2,389,95,4.93,1.390,9.4,1.6,3.1,7.1,2.32,,monteke01
140,J.T. Ginn,26,ATH,AL,0.5,4,7,.364,5.08,23,16,0,0,0,0,90.1,92,52,51,17,31,1,99,6,0,1,392,83,4.62,1.362,9.2,1.7,3.1,9.9,3.19,,ginnjt01
